Question Number,Correct Answer,My Answer,Is correct
1,C,C,
2,D,D,
3,D,D,
4,A,A,
5,B,B,
6,D,D,
7,B,B,
8,D,D,
9,C,C,
10,A,A,
11,D,D,
12,B,B,
13,C,C,
14,B,B,
15,A,A,
16,D,D,
17,B,B,
18,A,A,
19,C,C,
20,D,D,
21,B,A,Incorrect
22,A,A,
23,D,D,
24,B,B,
25,C,C,
26,C,A,Incorrect
27,C,C,
28,A,A,
29,A,A,
30,D,C,Incorrect
31,D,B,Incorrect
32,A,A,
33,A,A,
34,C,C,
35,B,B,
36,C,C,
37,B,B,
38,B,D,Incorrect
39,B,B,
40,D,D,
41,C,B,Incorrect
42,A,A,
43,A,A,
44,D,D,
45,D,B,Incorrect
46,A,A,
47,B,B,
48,A,A,
49,C,C,
50,D,D,
51,B,B,
52,C,C,
53,C,C,
54,D,A,Incorrect
55,C,C,
56,C,C,
57,B,B,
58,A,A,
59,B,B,
60,C,C,
61,C,C,
62,D,D,
63,E,B,Incorrect
64,C,C,
65,A,A,
66,D,D,
67,D,E,Incorrect
68,A,A,
69,D,D,
70,B,B,
71,A,A,
72,B,A,Incorrect
73,B,E,Incorrect
74,C,C,
75,E,E,
76,B,C,Incorrect
77,A,D,Incorrect
78,E,E,
79,D,A,Incorrect
80,E,E,
81,B,B,
82,E,E,
83,D,D,
84,A,A,
85,E,B,Incorrect
86,B,B,
87,A,C,Incorrect
88,D,E,Incorrect
89,B,B,
90,C,B,Incorrect
91,E,C,Incorrect
92,C,C,
93,A,A,
94,D,D,
95,B,B,
96,B,B,
97,D,D,
98,A,A,
99,C,C,
100,E,E,
101,E,E,
102,A,A,
103,E,E,
104,B,B,
105,B,B,
106,C,C,
107,E,E,
108,E,A,Incorrect
109,A,E,Incorrect
110,C,E,Incorrect
111,D,D,
112,D,D,
113,A,A,
114,D,D,
115,E,E,
116,E,E,
117,D,D,
118,A,A,
119,A,A,
120,A,A,
121,A,A,
122,E,E,
123,C,C,
124,B,B,
125,E,E,
126,B,B,
127,D,D,
128,E,E,
129,D,D,
130,C,C,
131,A,A,
132,B,B,
133,B,E,Incorrect
134,E,E,
135,A,B,Incorrect
136,D,A,Incorrect
137,E,C,Incorrect
138,C,A,Incorrect
139,D,D,
140,E,C,Incorrect
141,"50%, 25%, 75%, 100%",-,x
142,"50%, 25%, 100%, 75%",-,x
143,"50%, 100%, 75%, 25%",-,x
144,"25%, 50%, 75%, 100%",-,x
145,"50%, 25%, 100%, 75%",-,x
146,"75%, 50%, 25%, 100%",-,x
147,"25%, 100%, 50%, 75%",-,x
148,"50%, 75%, 25%, 100%",-,x
149,"50%, 75%, 25%, 100%",-,x
150,"25%, 75%, 100%, 50%",-,x
151,"25%, 50%, 100%, 75%",-,x
152,"50%, 25%, 75%, 100%",-,0.75
153,"100%, 50%, 75%, 25%",-,x
154,"50%, 100%, 25%, 75%",-,x
155,"100%, 75%, 50%, 25%",-,x
156,"A, C, D","A, C, D",
157,"25%, 50%, 100%, 75%",-,x
158,"A, C","A, C",
159,"25%, 50%, 100%, 75%",-,x
160,"A, B, C","B, C",x
161,"A, C, D","A, C, D",
162,"75%, 50%, 100%, 25%",-,x
163,"100%, 75%, 50%, 25%",-,x
164,"B, D",B,x
165,"25%, 75%, 100%, 50%",-,x
166,"25%, 75%, 50%, 100%",-,x
167,"A, B, C","B, C",x
168,"A, B",B,x
169,"50%, 75%, 100%, 25%",-,x
170,"A, B, C","A, B, C",
171,"-, 100%, -, -",-,x
172,"-, 25%, 100%, -",-,x
173,"-, 25%, -, 100%",-,x
174,"100%, -, -, 50%",-,x
175,"-, 100%, -, 50%",-,x
176,"-, -, 100%, -",-,x
177,"-, -, -, 100%",-,x
178,"25%, -, 100%, -",-,x
179,"-, 100%, -, -",-,x
180,"100%, -, -, -",-,x
181,"-, -, 100%, -",-,x
182,"-, -, 100%, 50%",-,0.5
183,"-, 100%, -, -",-,x
184,"-, 100%, -, -",-,x
185,"50%, 100%, -, -",-,x
186,"50%, 100%, -, 75%",-,x
187,"50%, 50%, 100%, 50%",-,x
188,"25%, 100%, 25%, -",-,0.25
189,"-, -, 100%, -",-,x
190,"100%, -, -, -",-,Incorrect
191,"-, 100%, -, -",-,x
192,"100%, -, -, -",-,x
193,"-, -, 100%, -",-,x
194,"50%, -, 100%, -",-,x
195,"-, -, 100%, 100%",-,x
196,"50%, 50%, 50%, 100%",-,x
197,"-, 100%, -, -",-,x
198,"50%, 50%, 50%, 100%",-,x
199,"100%, -, -, -",-,x
200,"-, 100%, -, -",-,x
